Series ID,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25
401_0,81,82,80,82,67,75,80,79,81,81,80,84,69,83,85,85,84,85,84,70,76,83,85,85,76,74,79,,,
401_1,63,65,63,66,55,61,64,62,65,64,64,67,55,67,68,68,67,67,67,56,64,68,72,74,65,66,71,,,
402_0,71,70,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,72,71,71,71,71,72,70,72,72,71,,,
402_1,57,56,56,56,57,57,56,56,57,56,57,57,56,57,57,57,56,57,56,57,57,57,60,58,60,60,58,,,
403_0,84,84,83,84,83,83,84,83,83,83,84,84,83,84,84,84,84,84,84,84,85,84,83,83,75,76,78,,,
403_1,74,75,75,75,73,73,75,74,74,75,75,75,75,76,75,75,75,76,75,76,76,79,79,82,70,74,75,,,
404_0,67,68,69,67,68,68,68,69,68,68,69,69,69,68,70,69,68,69,69,69,69,69,71,70,64,64,63,,,
404_1,55,54,55,54,55,54,55,55,55,54,55,55,55,54,56,55,55,55,55,55,55,56,59,58,56,56,55,,,
405_0,84,85,84,84,84,85,84,85,84,84,84,85,84,84,86,85,85,85,85,83,85,85,86,85,71,72,70,,,
405_1,58,58,58,57,57,59,57,58,58,57,57,58,58,58,58,58,59,59,59,57,59,60,61,60,55,56,54,,,
406_0,67,66,66,68,64,65,65,65,66,67,66,65,66,65,67,65,65,65,66,65,65,68,69,70,64,63,62,,,
406_1,54,54,54,56,54,53,54,53,53,56,54,53,54,53,54,54,53,54,54,53,53,57,60,58,57,56,54,,,
407_0,72,72,72,72,72,72,72,72,72,72,71,71,71,72,72,72,71,71,71,72,72,74,75,74,74,74,72,,,
407_1,50,51,50,50,50,51,50,50,50,50,50,50,50,50,50,51,49,50,50,50,51,53,53,53,56,56,53,,,
408_0,60,60,60,60,60,60,61,59,61,60,61,61,59,60,60,61,60,60,60,60,61,61,61,61,62,62,60,,,
408_1,45,45,45,45,45,45,46,45,46,45,46,46,45,45,45,46,45,45,45,45,46,47,48,48,50,50,47,,,
409_0,87,85,87,87,87,85,88,83,86,88,86,85,83,85,86,86,87,87,86,89,86,86,87,86,74,74,73,,,
409_1,54,53,54,55,54,52,56,52,53,55,53,53,51,52,53,53,55,53,53,56,53,54,55,55,56,56,55,,,
410_0,68,67,67,67,67,68,68,67,68,67,69,69,66,67,67,66,66,66,68,68,63,64,63,62,62,62,61,,,
410_1,50,50,50,50,50,51,50,50,50,50,51,51,49,50,50,50,49,49,50,50,48,50,50,50,51,51,49,,,
411_0,65,64,65,64,65,64,64,64,65,65,65,65,65,65,64,65,65,65,65,64,66,69,74,74,60,60,58,,,
411_1,47,47,47,46,46,47,47,47,47,47,47,48,47,49,46,47,47,47,47,46,48,51,53,54,50,50,49,,,
412_0,63,63,63,63,63,62,62,62,63,63,64,64,63,63,63,62,64,64,64,64,63,67,71,71,64,65,63,,,
412_1,42,42,42,42,42,42,42,42,43,43,43,43,43,43,42,42,43,43,43,42,42,47,49,49,48,48,47,,,
413_0,51,51,51,51,54,52,51,51,52,52,52,52,52,53,52,55,52,52,53,53,53,55,58,58,56,57,56,,,
413_1,41,41,41,41,44,41,41,41,42,41,41,42,44,44,43,46,44,44,43,43,42,44,48,48,47,47,46,,,
414_0,80,81,81,81,81,81,81,81,81,81,81,81,81,82,81,81,80,81,80,81,81,84,87,87,71,70,69,,,
414_1,53,53,53,53,53,53,53,53,53,53,53,53,54,54,53,53,53,53,53,53,53,57,59,60,52,53,51,,,
415_0,80,80,82,80,80,81,81,81,80,81,81,82,81,81,81,81,81,81,81,81,80,84,86,87,71,70,68,,,
