Series ID,Wed Sep 26 2018 14:35:24 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 14:51:01 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:06:38 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:22:16 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:38:03 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 15:53:58 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:09:50 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:25:45 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:41:24 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 16:56:59 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:12:35 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:28:10 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:43:45 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 17:59:36 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 18:15:29 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 18:31:26 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 18:47:23 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 19:03:00 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 19:18:35 GMT-0500 (Central Daylight Time),Wed Sep 26 2018 19:34:10 GMT-0500 (Central Daylight Time)
15_0,75,75,75,75,75,75,75,75,82,82,77,77,77,76,76,75,75,75,75,
15_1,51,52,51,51,51,51,51,52,57,57,52,52,51,51,51,51,51,51,51,
15_2,10,10,10,10,10,10,10,11,19,19,11,11,11,10,10,10,10,10,10,
15_3,0.499861,0.499861,0.500972,0.500833,0.500833,0.500556,0.500417,0.500417,0.500556,0.500139,0.500139,0.5,0.5,0.500694,0.500139,0.500139,0.500278,0.501111,0.501111,
15_4,92.21,92.21,92.21,92.21,92.21,92.21,92.21,92.21,92.21,92.21,92.21,92.21,92.21,92.21,92.21,92.21,92.21,92.21,92.21,
15_5,9170,9170,9170,9310,9310,9170,9310,9310,9450,9450,9310,9310,9310,9170,9310,9310,9310,9310,9310,
15_6,9170,9170,9170,9170,9170,9310,9170,9170,9450,9450,9310,9380,9380,9310,9170,9170,9170,9310,9310,
15_7,9170,9170,9170,9310,9310,9310,9310,9310,9450,9450,9380,9310,9310,9310,9310,9310,9310,9380,9380,
15_8,9170,9170,9170,9170,9170,9170,9170,9170,9380,9380,9310,9310,9310,9310,9170,9170,9170,9170,9170,
15_9,,,,,,,,,,,,,,,,,,,,
16_0,61,61,61,61,61,61,61,61,62,61,61,61,61,61,61,61,60,60,60,
16_1,47,47,47,47,47,47,47,47,49,47,47,47,47,47,47,47,47,47,47,
16_2,10,10,10,10,10,10,10,10,13,11,11,10,10,10,10,10,10,10,10,
16_3,0.494028,0.494028,0.498194,0.496111,0.496111,0.495278,0.497083,0.497083,0.493611,0.493611,0.493611,0.496111,0.496111,0.498194,0.49625,0.49625,0.495278,0.495972,0.495972,
16_4,91.18,91.18,91.18,91.18,91.18,91.18,91.18,91.18,91.18,91.18,91.18,91.18,91.18,91.18,91.18,91.18,91.18,91.18,91.18,
16_5,7840,7840,7910,7840,7840,7840,7910,7910,8050,8050,7910,7910,7910,7910,7910,7910,7910,7910,7910,
